,Country Name,Country Code,region,sub-region,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Afghanistan,AFG,Asia,Southern Asia,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,18.1576805114746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4488506317139,,,,,,,,,,37.266040802002
1,Albania,ALB,Europe,Southern Europe,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7129821777344,,,,,,,95.9386367797852,,,96.8452987670898,97.2469711303711,,,,,,98.1411514282227,,,98.4499969482422
2,Algeria,DZA,Africa,Northern Africa,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6308784484863,,,,,,,,,,,,,,,69.8734970092773,,,,72.648681640625,,75.1360473632813,,,,,,,,,,81.4078369140625,,,
3,American Samoa,ASM,Oceania,Polynesia,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,97.3441619873047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Andorra,AND,Europe,Southern Europe,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Angola,AGO,Africa,Sub-Saharan Africa,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4054183959961,,,,,,,,,,,,,66.0301132202148,,,,,,,72.2799987792969
6,Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9499969482422,,,,,,,,,,98.9499969482422,,,,98.9499969482422,,,,,,
7,Argentina,ARG,Americas,Latin America and the Caribbean,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,93.9128570556641,,,,,,,,,,,96.0407180786133,,,,,,,,,,97.1933135986328,,,,,98.6108016967773,,,98.9834213256836,98.9549713134766,99.1083297729492,99.1052322387695,99.1219482421875,98.9938888549805,99.1799621582031,99.1250076293945,,99.0038681030273,,,
8,Armenia,ARM,Asia,Western Asia,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7519607543945,,,,,,,,,,,,99.4001617431641,,,,,,,,,,99.7444076538086,,,,,99.7444076538086,99.7360687255859,,,99.7886123657227,
9,Aruba,ABW,Americas,Latin America and the Caribbean,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2912521362305,,,,,,,,,,96.822639465332,,,,,,,,97.8074188232422,,97.9899978637695,
10,Australia,AUS,Oceania,Australia and New Zealand,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Austria,AUT,Europe,Western Europe,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Azerbaijan,AZE,Asia,Western Asia,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7918014526367,,,,,,,,99.5931930541992,,99.7598419189453,99.7711410522461,99.7786331176758,99.7757720947266,99.7893600463867,99.7889862060547,99.7880630493164,99.7900619506836,99.7912292480469,,99.7959823608398,,
13,Bahamas,BHS,Americas,Latin America and the Caribbean,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bahrain,BHR,Asia,Western Asia,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,69.7535095214844,,,,,,,,,,84.0138320922852,,,,,,,,,,86.5487365722656,,,,,,,,,90.9774017333984,92.3000030517578,,,,,,,,,,
15,Bangladesh,BGD,Asia,Southern Asia,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,29.2272300720215,,,,,,,,,,35.3193016052246,,,,,,,,,,47.4855003356934,,,,,,46.6636009216309,,,,58.7691802978516,57.8607482910156,61.0155410766602,61.0932998657227,65.1373291015625,72.7587203979492,72.8929672241211,73.9122009277344,74.6844635009766,74.9088973999023,
